nb_params,step,log_Z,var_log_Z,density_calls,loss,lr,training_time
43584,0,,,,,,
,0,0.5250720930099487,0.8092809749929505,0,,,
,1,,,,5.2446747,0.0009989748,
,2,,,,5.253429,0.0009979504,
,3,,,,4.9964657,0.0009969271,
,4,,,,5.6415634,0.000995905,
,5,,,,5.592968,0.0009948838,
,6,,,,5.387537,0.0009938638,
,7,,,,4.8923197,0.0009928447,
,8,,,,5.031047,0.0009918266,
,9,,,,4.842265,0.0009908098,
,10,,,,5.2095237,0.0009897938,
,11,,,,5.015994,0.0009887789,
,12,,,,4.9524665,0.0009877651,
,13,,,,5.630804,0.0009867523,
,14,,,,5.2003093,0.0009857406,
,15,,,,5.101817,0.0009847298,
,16,,,,4.918786,0.0009837202,
,17,,,,4.9463496,0.0009827116,
,18,,,,5.0327525,0.0009817039,
,19,,,,5.3820424,0.0009806973,
,20,,,,4.6831546,0.0009796917,
,21,,,,4.992398,0.0009786873,
,22,,,,4.6079454,0.0009776838,
,23,,,,5.0344205,0.0009766814,
,24,,,,4.3263674,0.00097567984,
,25,,,,4.8454313,0.0009746795,
,26,,,,4.5412574,0.0009736801,
,27,,,,4.218353,0.00097268174,
,28,,,,4.3438916,0.00097168447,
,29,,,,3.987714,0.00097068807,
,30,,,,4.352896,0.00096969283,
,31,,,,4.0518765,0.0009686985,
,32,,,,4.0589566,0.0009677053,
,33,,,,4.096587,0.00096671307,
,34,,,,3.547321,0.0009657219,
,35,,,,3.512448,0.0009647317,
,36,,,,3.8446314,0.0009637425,
,37,,,,3.958052,0.00096275436,
,38,,,,3.5559494,0.00096176716,
,39,,,,4.001353,0.000960781,
,40,,,,3.9334412,0.00095979596,
,41,,,,3.7161183,0.0009588118,
,42,,,,3.3978388,0.0009578287,
,43,,,,3.8764243,0.0009568466,
,44,,,,3.5309014,0.0009558655,
,45,,,,3.915207,0.0009548854,
,46,,,,3.610193,0.00095390633,
,47,,,,3.7331657,0.0009529282,
,48,,,,3.2227633,0.0009519512,
,49,,,,3.6248405,0.0009509751,
,50,,,,4.23737,0.00095,
,51,,,,3.7763436,0.00094902597,
,52,,,,4.0814257,0.00094805285,
,53,,,,4.114662,0.00094708084,
,54,,,,4.132675,0.00094610977,
,55,,,,3.7642498,0.0009451396,
,56,,,,3.875788,0.0009441706,
,57,,,,3.640018,0.00094320247,
,58,,,,4.007273,0.00094223535,
