nb_params,step,log_Z,var_log_Z,density_calls,loss,lr,training_time
37764,0,,,,,,
,0,-0.8196940851211548,0.44034782322035015,0,,,
,1,,,,20.862123,0.0009989748,
,2,,,,20.921652,0.0009979504,
,3,,,,18.14313,0.0009969271,
,4,,,,19.413233,0.000995905,
,5,,,,20.740131,0.0009948838,
,6,,,,21.781847,0.0009938638,
,7,,,,16.530378,0.0009928447,
,8,,,,18.853502,0.0009918266,
,9,,,,18.572216,0.0009908098,
,10,,,,16.459951,0.0009897938,
,11,,,,13.767995,0.0009887789,
,12,,,,12.986873,0.0009877651,
,13,,,,16.774788,0.0009867523,
,14,,,,14.037236,0.0009857406,
,15,,,,13.697132,0.0009847298,
,16,,,,10.306107,0.0009837202,
,17,,,,11.536826,0.0009827116,
,18,,,,9.109934,0.0009817039,
,19,,,,7.852269,0.0009806973,
,20,,,,8.4502,0.0009796917,
,21,,,,7.652767,0.0009786873,
,22,,,,8.563875,0.0009776838,
,23,,,,10.3989525,0.0009766814,
,24,,,,8.643096,0.00097567984,
,25,,,,9.580338,0.0009746795,
,26,,,,8.7241955,0.0009736801,
,27,,,,7.8224626,0.00097268174,
,28,,,,7.830277,0.00097168447,
,29,,,,7.4614186,0.00097068807,
,30,,,,6.972803,0.00096969283,
,31,,,,7.0224743,0.0009686985,
,32,,,,8.453754,0.0009677053,
,33,,,,7.122458,0.00096671307,
,34,,,,6.4182415,0.0009657219,
,35,,,,7.6693525,0.0009647317,
,36,,,,8.277809,0.0009637425,
,37,,,,6.9414163,0.00096275436,
,38,,,,7.695592,0.00096176716,
,39,,,,8.056074,0.000960781,
,40,,,,6.281154,0.00095979596,
,41,,,,6.7951636,0.0009588118,
,42,,,,8.5609455,0.0009578287,
,43,,,,6.916076,0.0009568466,
,44,,,,8.229002,0.0009558655,
,45,,,,6.0891337,0.0009548854,
,46,,,,8.110494,0.00095390633,
,47,,,,7.156685,0.0009529282,
,48,,,,7.066351,0.0009519512,
,49,,,,6.7643356,0.0009509751,
,50,,,,6.8865104,0.00095,
,51,,,,6.247137,0.00094902597,
,52,,,,6.385348,0.00094805285,
,53,,,,6.621521,0.00094708084,
,54,,,,6.9222546,0.00094610977,
,55,,,,7.4718556,0.0009451396,
,56,,,,7.182693,0.0009441706,
,57,,,,6.755948,0.00094320247,
,58,,,,6.2780247,0.00094223535,
,59,,,,7.1241384,0.0009412693,
,60,,,,7.7895527,0.00094030413,
,61,,,,6.462808,0.00093934,
,62,,,,5.9287043,0.0009383768,
,63,,,,5.842838,0.0009374147,
,64,,,,6.9931154,0.0009364535,
,65,,,,6.0641274,0.0009354933,
,66,,,,6.256309,0.0009345341,
,67,,,,6.130159,0.0009335759,
,68,,,,5.984497,0.0009326187,
,69,,,,5.4496303,0.00093166245,
,70,,,,6.6601505,0.0009307072,
,71,,,,7.4030037,0.0009297529,
,72,,,,6.588134,0.00092879956,
,73,,,,6.1378922,0.0009278472,
,74,,,,5.7705584,0.0009268959,
,75,,,,6.068305,0.0009259455,
,76,,,,6.546937,0.00092499604,
,77,,,,6.708396,0.0009240476,
,78,,,,6.9161606,0.0009231002,
,79,,,,6.3302526,0.0009221537,
,80,,,,7.9402475,0.0009212082,
,81,,,,6.665223,0.00092026364,
,82,,,,7.0823,0.00091932004,
,83,,,,6.1732984,0.0009183774,
,84,,,,6.3958554,0.00091743574,
,85,,,,8.267431,0.00091649505,
,86,,,,5.422873,0.00091555534,
,87,,,,6.517278,0.0009146166,
,88,,,,6.904258,0.0009136788,
,89,,,,8.436608,0.000912742,
,90,,,,6.8347235,0.00091180607,
,91,,,,5.97702,0.0009108712,
,92,,,,5.7998323,0.00090993725,
,93,,,,5.3708897,0.00090900424,
,94,,,,6.0228763,0.0009080722,
,95,,,,7.16845,0.00090714113,
,96,,,,6.075997,0.000906211,
,97,,,,6.668707,0.0009052818,
,98,,,,6.3956103,0.0009043536,
,99,,,,6.201317,0.0009034263,
,100,,,,6.0303035,0.0009025,
,101,,,,8.724089,0.0009015747,
,102,,,,7.7662435,0.0009006502,
,103,,,,7.0787625,0.00089972676,
,104,,,,6.6577783,0.0008988042,
,105,,,,6.6197114,0.0008978827,
,106,,,,6.345406,0.000896962,
,107,,,,5.803724,0.00089604233,
,108,,,,6.334904,0.0008951236,
,109,,,,5.290975,0.0008942058,
,110,,,,5.7797575,0.0008932889,
,111,,,,7.209198,0.000892373,
,112,,,,7.803472,0.000891458,
,113,,,,7.05214,0.0008905439,
,114,,,,6.9240055,0.0008896308,
,115,,,,6.314673,0.00088871864,
,116,,,,6.5977206,0.0008878074,
,117,,,,5.9844046,0.00088689715,
,118,,,,7.3694396,0.0008859877,
,119,,,,6.511783,0.0008850793,
,120,,,,6.344479,0.0008841718,
,121,,,,7.0105267,0.0008832652,
,122,,,,6.633116,0.0008823596,
,123,,,,6.750889,0.00088145485,
,124,,,,6.8721046,0.00088055106,
,125,,,,6.7661896,0.0008796482,
,126,,,,6.36528,0.0008787463,
,127,,,,6.176351,0.0008778453,
,128,,,,6.438695,0.00087694515,
,129,,,,6.1489263,0.00087604596,
,130,,,,5.86021,0.00087514776,
,131,,,,6.505548,0.0008742504,
,132,,,,6.7841167,0.00087335403,
,133,,,,6.250424,0.00087245856,
,134,,,,6.7995844,0.00087156397,
,135,,,,5.604332,0.0008706703,
,136,,,,6.6725755,0.0008697776,
,137,,,,6.859292,0.0008688857,
,138,,,,6.685281,0.0008679949,
,139,,,,6.758786,0.00086710486,
,140,,,,6.005579,0.0008662158,
,141,,,,6.5884376,0.00086532766,
,142,,,,5.5873756,0.00086444034,
,143,,,,6.3372893,0.000863554,
,144,,,,7.7695136,0.0008626686,
,145,,,,7.5080647,0.0008617841,
,146,,,,6.041219,0.00086090044,
,147,,,,6.4673057,0.0008600178,
,148,,,,7.879006,0.0008591359,
,149,,,,6.440355,0.000858255,
,150,,,,7.0190153,0.000857375,
