nb_params,step,log_Z,var_log_Z,density_calls,loss,lr,training_time
,190,,,,7.5843043,0.001,
,191,,,,7.2829404,0.001,
,192,,,,6.0343122,0.001,
,193,,,,7.0903907,0.001,
,194,,,,6.243357,0.001,
,195,,,,7.673449,0.001,
,196,,,,12.068187,0.001,
,197,,,,5.8677883,0.001,
,198,,,,8.2059965,0.001,
,199,,,,7.2879477,0.001,
,200,,,,6.9564195,0.001,
,201,,,,4.252007,0.001,
,202,,,,3.8935719,0.001,
,203,,,,4.8606963,0.001,
,204,,,,4.653685,0.001,
,205,,,,3.573182,0.001,
,206,,,,4.8286815,0.001,
,207,,,,4.495136,0.001,
,208,,,,2.848394,0.001,
,209,,,,5.0435386,0.001,
,210,,,,3.2125077,0.001,
,211,,,,4.5562325,0.001,
,212,,,,3.714454,0.001,
,213,,,,4.048304,0.001,
,214,,,,4.12456,0.001,
,215,,,,3.5641594,0.001,
,216,,,,6.055792,0.001,
,217,,,,4.021171,0.001,
,218,,,,3.0736148,0.001,
,219,,,,5.100741,0.001,
,220,,,,3.9620256,0.001,
,221,,,,2.793567,0.001,
,222,,,,3.0484905,0.001,
,223,,,,4.072313,0.001,
,224,,,,2.6108072,0.001,
,225,,,,3.4892676,0.001,
,226,,,,3.2291753,0.001,
,227,,,,5.5263724,0.001,
,228,,,,3.3515964,0.001,
,229,,,,4.044516,0.001,
,230,,,,4.0512457,0.001,
,231,,,,3.8086903,0.001,
,232,,,,5.106001,0.001,
,233,,,,5.294435,0.001,
,234,,,,4.1328955,0.001,
,235,,,,3.6679509,0.001,
,236,,,,5.067633,0.001,
,237,,,,3.6230357,0.001,
,238,,,,5.376711,0.001,
,239,,,,6.945493,0.001,
,240,,,,4.151504,0.001,
,241,,,,3.2162457,0.001,
,242,,,,3.6313038,0.001,
,243,,,,3.4375978,0.001,
,244,,,,5.111106,0.001,
,245,,,,4.5805397,0.001,
,246,,,,4.1990523,0.001,
,247,,,,4.210119,0.001,
,248,,,,3.9822235,0.001,
,249,,,,3.3759434,0.001,
,250,,,,4.043759,0.001,
,251,,,,4.354229,0.001,
,252,,,,4.5816026,0.001,
,253,,,,3.7356527,0.001,
,254,,,,4.646627,0.001,
,255,,,,5.3611493,0.001,
,256,,,,4.1200066,0.001,
,257,,,,3.3701718,0.001,
,258,,,,4.272825,0.001,
,259,,,,3.2186496,0.001,
,260,,,,3.9882479,0.001,
,261,,,,3.9612138,0.001,
,262,,,,4.1081643,0.001,
,263,,,,4.134065,0.001,
,264,,,,2.901908,0.001,
,265,,,,4.1192307,0.001,
,266,,,,4.088803,0.001,
,267,,,,4.7823706,0.001,
,268,,,,3.911564,0.001,
,269,,,,3.909992,0.001,
,270,,,,3.9492214,0.001,
,271,,,,4.066322,0.001,
,272,,,,4.4568834,0.001,
,273,,,,4.047938,0.001,
,274,,,,4.080512,0.001,
,275,,,,4.103087,0.001,
,276,,,,5.799435,0.001,
,277,,,,4.0673,0.001,
,278,,,,3.086896,0.001,
,279,,,,3.5591223,0.001,
,280,,,,3.380334,0.001,
,281,,,,4.8186884,0.001,
,282,,,,5.3719068,0.001,
,283,,,,3.4675348,0.001,
,284,,,,3.9129355,0.001,
,285,,,,4.6178875,0.001,
,286,,,,5.222195,0.001,
,287,,,,3.1475234,0.001,
,288,,,,3.880276,0.001,
,289,,,,3.2684913,0.001,
,290,,,,4.059353,0.001,
,291,,,,4.305054,0.001,
,292,,,,4.3148823,0.001,
,293,,,,3.937819,0.001,
,294,,,,3.5235906,0.001,
,295,,,,3.2238607,0.001,
,296,,,,3.3030002,0.001,
,297,,,,2.6415246,0.001,
,298,,,,4.7559943,0.001,
,299,,,,3.038441,0.001,
,300,,,,3.6323218,0.001,
,301,,,,5.4431257,0.001,
,302,,,,4.0108085,0.001,
,303,,,,5.382723,0.001,
,304,,,,4.759164,0.001,
,305,,,,3.623602,0.001,
,306,,,,3.784323,0.001,
,307,,,,4.687646,0.001,
,308,,,,3.686164,0.001,
,309,,,,4.1406426,0.001,
,310,,,,4.7714314,0.001,
,311,,,,6.830897,0.001,
,312,,,,4.59145,0.001,
,313,,,,5.2431226,0.001,
,314,,,,5.608656,0.001,
,315,,,,4.023299,0.001,
,316,,,,4.614474,0.001,
,317,,,,4.480618,0.001,
,318,,,,4.7416515,0.001,
,319,,,,5.250213,0.001,
,320,,,,4.16525,0.001,
,321,,,,4.1599603,0.001,
,322,,,,4.440677,0.001,
,323,,,,5.035653,0.001,
,324,,,,5.3971457,0.001,
,325,,,,4.1812673,0.001,
,326,,,,3.7982798,0.001,
,327,,,,4.19998,0.001,
,328,,,,4.4674096,0.001,
,329,,,,5.8632073,0.001,
,330,,,,4.194804,0.001,
,331,,,,4.4238267,0.001,
,332,,,,4.3004966,0.001,
,333,,,,4.825009,0.001,
,334,,,,4.1881886,0.001,
,335,,,,4.713426,0.001,
,336,,,,4.5005946,0.001,
,337,,,,4.191411,0.001,
,338,,,,5.7415824,0.001,
,339,,,,4.8796406,0.001,
,340,,,,4.931114,0.001,
,341,,,,3.0180194,0.001,
,342,,,,3.9710133,0.001,
,343,,,,4.0889826,0.001,
,344,,,,5.179243,0.001,
,345,,,,5.4146056,0.001,
,346,,,,3.4467595,0.001,
,347,,,,6.3181376,0.001,
,348,,,,5.271063,0.001,
,349,,,,4.585046,0.001,
,350,,,,5.770651,0.001,
,351,,,,3.8895235,0.001,
,352,,,,4.877603,0.001,
,353,,,,3.7209165,0.001,
,354,,,,3.376785,0.001,
,355,,,,5.2020993,0.001,
,356,,,,6.955277,0.001,
,357,,,,3.890675,0.001,
,358,,,,3.6266367,0.001,
,359,,,,4.4001126,0.001,
,360,,,,4.4064603,0.001,
,361,,,,5.297233,0.001,
,362,,,,3.8054545,0.001,
,363,,,,5.050004,0.001,
,364,,,,4.174041,0.001,
,365,,,,3.8268201,0.001,
,366,,,,3.7437081,0.001,
,367,,,,3.3337374,0.001,
,368,,,,5.64457,0.001,
,369,,,,3.9578052,0.001,
,370,,,,4.465722,0.001,
,371,,,,3.4721746,0.001,
,372,,,,4.0343537,0.001,
,373,,,,4.905941,0.001,
,374,,,,5.1974187,0.001,
,375,,,,3.900732,0.001,
,376,,,,3.5890918,0.001,
,377,,,,4.441755,0.001,
,378,,,,4.1010356,0.001,
,379,,,,3.5346184,0.001,
,380,,,,4.7114706,0.001,
,381,,,,3.8368044,0.001,
,382,,,,4.5905952,0.001,
,383,,,,5.3580084,0.001,
,384,,,,5.8473005,0.001,
,385,,,,3.6809864,0.001,
,386,,,,4.139996,0.001,
,387,,,,5.804342,0.001,
,388,,,,3.629996,0.001,
,389,,,,3.4222283,0.001,
,390,,,,4.1940145,0.001,
,391,,,,3.6930017,0.001,
,392,,,,3.5264184,0.001,
,393,,,,3.5889752,0.001,
,394,,,,3.5065255,0.001,
,395,,,,3.9340122,0.001,
,396,,,,4.7251434,0.001,
,397,,,,6.203657,0.001,
,398,,,,5.791581,0.001,
